ID,"SKU Code",Title,name,Quantity,Stock,Stock,Modified
354,25929203042,"Colour Me Black Gift Set for Men (Perfume + Deo) 240 ML",Black,0,out_of_stock,active,"1/13/19, 11:59 PM"
498,PB00000068,"New NB Combo Pack Perfume (Black Perfume and Black Deo) for Men","Black Pour Homme Perfume + Black Pour Homme Deo",0,out_of_stock,active,"1/13/19, 6:40 PM"
